
[1;33mjava 17.0.8-tem is already installed.[0m

[1;32mUsing java version 17.0.8-tem in this shell.[0m
Validating WDL...
Success!
2026-02-08 18:35:29 main INFO  - Running with database db.url = jdbc:hsqldb:file:local_cromwell_run.db;shutdown=false;hsqldb.default_table_type=cached;hsqldb.tx=mvcc;hsqldb.large_data=true;hsqldb.lob_compressed=true;hsqldb.script_format=3;hsqldb.result_max_memory_rows=20000
2026-02-08 18:35:30 db connection adder INFO  - Checkpoint start
2026-02-08 18:35:30 db connection adder INFO  - checkpointClose start
2026-02-08 18:35:30 db connection adder INFO  - checkpointClose synched
2026-02-08 18:35:30 db connection adder INFO  - checkpointClose script done
2026-02-08 18:35:30 db connection adder INFO  - checkpointClose end
2026-02-08 18:35:30 db connection adder INFO  - Checkpoint end - txts: 1
2026-02-08 18:35:30 db-1 INFO  - Checkpoint start
2026-02-08 18:35:30 db-1 INFO  - checkpointClose start
2026-02-08 18:35:30 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:30 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:30 db-1 INFO  - checkpointClose end
2026-02-08 18:35:30 db-1 INFO  - Checkpoint end - txts: 10
2026-02-08 18:35:31 db-1 INFO  - Checkpoint start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:31 db-1 INFO  - dataFileCache open start
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:31 db-1 INFO  - dataFileCache open end
2026-02-08 18:35:31 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:31 db-1 INFO  - checkpointClose end
2026-02-08 18:35:31 db-1 INFO  - Checkpoint end - txts: 20
2026-02-08 18:35:31 db-1 INFO  - Checkpoint start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:31 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:31 db-1 INFO  - checkpointClose end
2026-02-08 18:35:31 db-1 INFO  - Checkpoint end - txts: 34
2026-02-08 18:35:31 db-1 INFO  - Checkpoint start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:31 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:31 db-1 INFO  - checkpointClose end
2026-02-08 18:35:31 db-1 INFO  - Checkpoint end - txts: 98
2026-02-08 18:35:31 db-1 INFO  - Checkpoint start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose start
2026-02-08 18:35:31 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:31 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:31 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:31 db-1 INFO  - checkpointClose end
2026-02-08 18:35:31 db-1 INFO  - Checkpoint end - txts: 100
2026-02-08 18:35:34 db-1 INFO  - Checkpoint start
2026-02-08 18:35:34 db-1 INFO  - checkpointClose start
2026-02-08 18:35:34 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:34 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:34 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:34 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:34 db-1 INFO  - checkpointClose end
2026-02-08 18:35:34 db-1 INFO  - Checkpoint end - txts: 114
2026-02-08 18:35:34 db-1 INFO  - Checkpoint start
2026-02-08 18:35:34 db-1 INFO  - checkpointClose start
2026-02-08 18:35:34 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:34 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:34 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:34 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:34 db-1 INFO  - checkpointClose end
2026-02-08 18:35:34 db-1 INFO  - Checkpoint end - txts: 124
2026-02-08 18:35:34 db-1 INFO  - Checkpoint start
2026-02-08 18:35:34 db-1 INFO  - checkpointClose start
2026-02-08 18:35:34 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:34 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:34 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:34 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:34 db-1 INFO  - checkpointClose end
2026-02-08 18:35:34 db-1 INFO  - Checkpoint end - txts: 187
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2335
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2357
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2368
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2370
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2372
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2379
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2386
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2388
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2390
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2422
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2429
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2431
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2433
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:35 db-1 INFO  - checkpointClose end
2026-02-08 18:35:35 db-1 INFO  - Checkpoint end - txts: 2440
2026-02-08 18:35:35 db-1 INFO  - Checkpoint start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose start
2026-02-08 18:35:35 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:35 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:35 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:36 db-1 INFO  - checkpointClose end
2026-02-08 18:35:36 db-1 INFO  - Checkpoint end - txts: 2447
2026-02-08 18:35:36 db-1 INFO  - Checkpoint start
2026-02-08 18:35:36 db-1 INFO  - checkpointClose start
2026-02-08 18:35:36 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:36 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:36 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:36 db-1 INFO  - dataFileCache commit end
2026-02-08 18:35:36 db-1 INFO  - checkpointClose end
2026-02-08 18:35:36 db-1 INFO  - Checkpoint end - txts: 2449
2026-02-08 18:35:36 db-1 INFO  - Checkpoint start
2026-02-08 18:35:36 db-1 INFO  - checkpointClose start
2026-02-08 18:35:36 db-1 INFO  - checkpointClose synched
2026-02-08 18:35:36 db-1 INFO  - checkpointClose script done
2026-02-08 18:35:36 db-1 INFO  - dataFileCache commit start
2026-02-08 18:35:36 db-1 INFO  - dataFileCache commit end
